trip_hour,trip_count_hourly
2023-06-01 00:00:00,1265
2023-06-01 01:00:00,701
2023-06-01 02:00:00,414
2023-06-01 03:00:00,242
2023-06-01 04:00:00,280
2023-06-01 05:00:00,1026
2023-06-01 06:00:00,2883
2023-06-01 07:00:00,5832
2023-06-01 08:00:00,8796
2023-06-01 09:00:00,6731
2023-06-01 10:00:00,4929
2023-06-01 11:00:00,5197
2023-06-01 12:00:00,5924
2023-06-01 13:00:00,6208
2023-06-01 14:00:00,6954
2023-06-01 15:00:00,7768
2023-06-01 16:00:00,8991
2023-06-01 17:00:00,12389
2023-06-01 18:00:00,12334
2023-06-01 19:00:00,9716
2023-06-01 20:00:00,6821
2023-06-01 21:00:00,4846
2023-06-01 22:00:00,3757
2023-06-01 23:00:00,2621
2023-06-02 00:00:00,1460
2023-06-02 01:00:00,885
2023-06-02 02:00:00,590
2023-06-02 03:00:00,345
2023-06-02 04:00:00,301
2023-06-02 05:00:00,941
2023-06-02 06:00:00,2518
2023-06-02 07:00:00,5232
2023-06-02 08:00:00,7546
2023-06-02 09:00:00,6048
2023-06-02 10:00:00,4881
2023-06-02 11:00:00,5392
2023-06-02 12:00:00,6106
2023-06-02 13:00:00,6789
2023-06-02 14:00:00,7551
2023-06-02 15:00:00,8595
2023-06-02 16:00:00,9451
2023-06-02 17:00:00,10895
2023-06-02 18:00:00,7029
2023-06-02 19:00:00,3953
2023-06-02 20:00:00,4653
2023-06-02 21:00:00,3836
2023-06-02 22:00:00,3569
2023-06-02 23:00:00,3131
2023-06-03 00:00:00,1467
2023-06-03 01:00:00,1803
2023-06-03 02:00:00,1221
2023-06-03 03:00:00,846
2023-06-03 04:00:00,557
2023-06-03 05:00:00,548
2023-06-03 06:00:00,960
2023-06-03 07:00:00,1896
2023-06-03 08:00:00,3284
2023-06-03 09:00:00,4867
2023-06-03 10:00:00,5966
2023-06-03 11:00:00,6899
2023-06-03 12:00:00,7865
2023-06-03 13:00:00,8586
2023-06-03 14:00:00,8448
2023-06-03 15:00:00,8393
2023-06-03 16:00:00,8133
2023-06-03 17:00:00,7566
2023-06-03 18:00:00,7037
2023-06-03 19:00:00,6006
2023-06-03 20:00:00,4520
2023-06-03 21:00:00,3538
2023-06-03 22:00:00,3124
2023-06-03 23:00:00,2558
2023-06-04 00:00:00,1964
2023-06-04 01:00:00,1360
2023-06-04 02:00:00,1004
2023-06-04 03:00:00,632
2023-06-04 04:00:00,444
2023-06-04 05:00:00,366
2023-06-04 06:00:00,745
2023-06-04 07:00:00,1335
2023-06-04 08:00:00,2364
2023-06-04 09:00:00,3839
2023-06-04 10:00:00,5474
2023-06-04 11:00:00,6923
2023-06-04 12:00:00,7776
2023-06-04 13:00:00,8420
2023-06-04 14:00:00,8862
2023-06-04 15:00:00,8977
2023-06-04 16:00:00,8820
2023-06-04 17:00:00,8294
2023-06-04 18:00:00,7641
2023-06-04 19:00:00,6193
2023-06-04 20:00:00,4622
2023-06-04 21:00:00,3201
2023-06-04 22:00:00,2559
2023-06-04 23:00:00,1555
2023-06-05 00:00:00,993
2023-06-05 01:00:00,531
2023-06-05 02:00:00,393
2023-06-05 03:00:00,293
2023-06-05 04:00:00,273
2023-06-05 05:00:00,956
2023-06-05 06:00:00,2712
2023-06-05 07:00:00,5633
2023-06-05 08:00:00,8044
2023-06-05 09:00:00,5524
2023-06-05 10:00:00,4249
2023-06-05 11:00:00,4596
2023-06-05 12:00:00,5087
2023-06-05 13:00:00,5545
2023-06-05 14:00:00,6505
2023-06-05 15:00:00,7475
2023-06-05 16:00:00,8875
2023-06-05 17:00:00,11811
2023-06-05 18:00:00,11236
2023-06-05 19:00:00,8689
2023-06-05 20:00:00,6197
2023-06-05 21:00:00,4373
2023-06-05 22:00:00,3179
2023-06-05 23:00:00,1920
2023-06-06 00:00:00,1151
2023-06-06 01:00:00,571
2023-06-06 02:00:00,290
2023-06-06 03:00:00,225
2023-06-06 04:00:00,260
2023-06-06 05:00:00,1079
2023-06-06 06:00:00,3049
2023-06-06 07:00:00,6464
2023-06-06 08:00:00,9187
2023-06-06 09:00:00,4459
2023-06-06 10:00:00,4319
2023-06-06 11:00:00,4671
2023-06-06 12:00:00,5172
2023-06-06 13:00:00,5682
2023-06-06 14:00:00,6427
2023-06-06 15:00:00,7110
2023-06-06 16:00:00,8762
2023-06-06 17:00:00,12005
2023-06-06 18:00:00,10625
2023-06-06 19:00:00,7020
2023-06-06 20:00:00,4900
2023-06-06 21:00:00,3817
2023-06-06 22:00:00,3026
2023-06-06 23:00:00,1967
2023-06-07 00:00:00,1092
2023-06-07 01:00:00,517
2023-06-07 02:00:00,284
2023-06-07 03:00:00,194
2023-06-07 04:00:00,259
2023-06-07 05:00:00,958
2023-06-07 06:00:00,2892
2023-06-07 07:00:00,5817
2023-06-07 08:00:00,8527
2023-06-07 09:00:00,6252
2023-06-07 10:00:00,4396
2023-06-07 11:00:00,4617
2023-06-07 12:00:00,4723
2023-06-07 13:00:00,4578
2023-06-07 14:00:00,5143
2023-06-07 15:00:00,5381
2023-06-07 16:00:00,5711
2023-06-07 17:00:00,7484
2023-06-07 18:00:00,7163
2023-06-07 19:00:00,5331
2023-06-07 20:00:00,3917
2023-06-07 21:00:00,2905
2023-06-07 22:00:00,2306
2023-06-07 23:00:00,1757
2023-06-08 00:00:00,1013
2023-06-08 01:00:00,522
2023-06-08 02:00:00,337
2023-06-08 03:00:00,249
2023-06-08 04:00:00,271
2023-06-08 05:00:00,789
2023-06-08 06:00:00,2245
2023-06-08 07:00:00,3891
2023-06-08 08:00:00,5819
2023-06-08 09:00:00,4765
2023-06-08 10:00:00,3780
2023-06-08 11:00:00,4110
2023-06-08 12:00:00,4647
2023-06-08 13:00:00,5062
2023-06-08 14:00:00,5381
2023-06-08 15:00:00,6099
2023-06-08 16:00:00,6933
2023-06-08 17:00:00,8849
2023-06-08 18:00:00,9193
2023-06-08 19:00:00,7278
2023-06-08 20:00:00,5279
2023-06-08 21:00:00,4227
2023-06-08 22:00:00,3346
2023-06-08 23:00:00,2563
2023-06-09 00:00:00,1541
2023-06-09 01:00:00,923
2023-06-09 02:00:00,527
2023-06-09 03:00:00,321
2023-06-09 04:00:00,312
2023-06-09 05:00:00,901
2023-06-09 06:00:00,2321
2023-06-09 07:00:00,4186
2023-06-09 08:00:00,6057
2023-06-09 09:00:00,5382
2023-06-09 10:00:00,4805
2023-06-09 11:00:00,5274
2023-06-09 12:00:00,6285
2023-06-09 13:00:00,6890
2023-06-09 14:00:00,7610
2023-06-09 15:00:00,8321
2023-06-09 16:00:00,9400
2023-06-09 17:00:00,10582
2023-06-09 18:00:00,8969
2023-06-09 19:00:00,6540
2023-06-09 20:00:00,4859
2023-06-09 21:00:00,4075
2023-06-09 22:00:00,3443
2023-06-09 23:00:00,3455
2023-06-10 00:00:00,2386
2023-06-10 01:00:00,1694
2023-06-10 02:00:00,1169
2023-06-10 03:00:00,783
2023-06-10 04:00:00,461
2023-06-10 05:00:00,502
2023-06-10 06:00:00,991
2023-06-10 07:00:00,2022
2023-06-10 08:00:00,3194
2023-06-10 09:00:00,5003
2023-06-10 10:00:00,6652
2023-06-10 11:00:00,8015
2023-06-10 12:00:00,9069
2023-06-10 13:00:00,9562
2023-06-10 14:00:00,10095
2023-06-10 15:00:00,9329
2023-06-10 16:00:00,8748
2023-06-10 17:00:00,9238
2023-06-10 18:00:00,8644
2023-06-10 19:00:00,7644
2023-06-10 20:00:00,5796
2023-06-10 21:00:00,4561
2023-06-10 22:00:00,4069
2023-06-10 23:00:00,2739
2023-06-11 00:00:00,2157
2023-06-11 01:00:00,1552
2023-06-11 02:00:00,1104
2023-06-11 03:00:00,773
2023-06-11 04:00:00,478
2023-06-11 05:00:00,434
2023-06-11 06:00:00,825
2023-06-11 07:00:00,1485
2023-06-11 08:00:00,2427
2023-06-11 09:00:00,3921
2023-06-11 10:00:00,5507
2023-06-11 11:00:00,6938
2023-06-11 12:00:00,8051
2023-06-11 13:00:00,8525
2023-06-11 14:00:00,8817
2023-06-11 15:00:00,8996
2023-06-11 16:00:00,8830
2023-06-11 17:00:00,8515
2023-06-11 18:00:00,8153
2023-06-11 19:00:00,6905
2023-06-11 20:00:00,5251
2023-06-11 21:00:00,3787
2023-06-11 22:00:00,2915
2023-06-11 23:00:00,2190
2023-06-12 00:00:00,1225
2023-06-12 01:00:00,619
2023-06-12 02:00:00,367
2023-06-12 03:00:00,279
2023-06-12 04:00:00,302
2023-06-12 05:00:00,975
2023-06-12 06:00:00,2685
2023-06-12 07:00:00,5515
2023-06-12 08:00:00,7552
2023-06-12 09:00:00,5583
2023-06-12 10:00:00,4148
2023-06-12 11:00:00,4374
2023-06-12 12:00:00,5078
2023-06-12 13:00:00,5464
2023-06-12 14:00:00,6197
2023-06-12 15:00:00,7285
2023-06-12 16:00:00,8165
2023-06-12 17:00:00,10793
2023-06-12 18:00:00,9775
2023-06-12 19:00:00,5282
2023-06-12 20:00:00,1525
2023-06-12 21:00:00,1150
2023-06-12 22:00:00,1424
2023-06-12 23:00:00,1407
2023-06-13 00:00:00,801
2023-06-13 01:00:00,505
2023-06-13 02:00:00,318
2023-06-13 03:00:00,233
2023-06-13 04:00:00,294
2023-06-13 05:00:00,1126
2023-06-13 06:00:00,3135
2023-06-13 07:00:00,6579
2023-06-13 08:00:00,9481
2023-06-13 09:00:00,6757
2023-06-13 10:00:00,4874
2023-06-13 11:00:00,4965
2023-06-13 12:00:00,5441
2023-06-13 13:00:00,6059
2023-06-13 14:00:00,6982
2023-06-13 15:00:00,8127
2023-06-13 16:00:00,9493
2023-06-13 17:00:00,13645
2023-06-13 18:00:00,13211
2023-06-13 19:00:00,9971
2023-06-13 20:00:00,7339
2023-06-13 21:00:00,5394
2023-06-13 22:00:00,4138
2023-06-13 23:00:00,2757
2023-06-14 00:00:00,1502
2023-06-14 01:00:00,731
2023-06-14 02:00:00,400
2023-06-14 03:00:00,271
2023-06-14 04:00:00,277
2023-06-14 05:00:00,1010
2023-06-14 06:00:00,3213
2023-06-14 07:00:00,6383
2023-06-14 08:00:00,9491
2023-06-14 09:00:00,7015
2023-06-14 10:00:00,4989
2023-06-14 11:00:00,5359
2023-06-14 12:00:00,5906
2023-06-14 13:00:00,3319
2023-06-14 14:00:00,3952
2023-06-14 15:00:00,5734
2023-06-14 16:00:00,8512
2023-06-14 17:00:00,12017
2023-06-14 18:00:00,11047
2023-06-14 19:00:00,7909
2023-06-14 20:00:00,6540
2023-06-14 21:00:00,4974
2023-06-14 22:00:00,4062
2023-06-14 23:00:00,2581
